,Districts,Count
0,Thiruvananthapuram,229
1,Lakhimpur,213
2,Dhemaji,197
3,Kamrup,176
4,Nagaon,173
5,Mumbai,170
6,Barpeta,160
7,Nagpur,155
8,Sonitpur,154
9,Dibrugarh,150
10,Darrang,150
11,Cachar,148
12,Wayanad,147
13,Pune,136
14,Goalpara,135
15,Baksa,134
16,Jorhat,131
17,Nalbari,130
18,Morigaon,130
19,Golaghat,127
20,Sivasagar,124
21,Dhubri,118
22,Warangal Rural,116
23,Idukki,114
24,Shimla,111
25,Alappuzha,111
26,Kozhikode,111
27,Hamirpur,103
28,Karimganj,101
29,Kottayam,100
30,Kangra,99
31,Kullu,95
32,Thane,94
33,Malappuram,93
34,Kollam,93
35,Chirang,90
36,Kannur,89
37,Mandi,88
38,Thrissur,87
39,Bongaigaon,84
40,Nashik,83
41,Ernakulam,82
42,Biswanath,81
43,Kamrup Metropolitanpolitan,80
44,Hailakandi,79
45,Amravati,77
46,Aurangabad,76
47,Washim,75
48,Dima Hasao,75
49,Dakshina Kannada,74
50,Tinsukia,73
51,Pathanamthitta,73
52,Kolkata,73
53,Chamba,73
54,Hojai,72
55,Bengaluru Rural,70
56,Yavatmal,70
57,Uttara Kannada,70
58,Majuli,70
59,Kokrajhar,69
60,Palakkad,68
61,Wardha,67
62,Solan,65
63,Akola,65
64,Kasaragod,64
65,Udalguri,64
66,Nanded,63
67,Ratnagiri,62
68,Sirmaur,62
69,Bilaspur,61
70,Chandrapur,61
71,Patna,60
72,Kodagu,60
73,Darjiling,59
74,Bara Banki,58
75,Kinnaur,58
76,Raichur,57
77,Ballari,57
78,Bahraich,57
79,Gonda,57
80,Purba Champaran,56
81,Sitapur,56
82,Darbhanga,56
83,Bhandara,55
84,Dharwad,55
85,Madhubani,55
86,Chennai,55
87,Gadchiroli,55
88,Katihar,54
89,Pashchim Champaran,52
90,Kalaburagi,52
91,Ahmadabad,52
92,Buldana,52
93,Muzaffarpur,52
94,Bangalore,52
95,Junagadh,51
96,Una,51
97,Gorakhpur,51
98,,51
99,West Kameng,51
100,Mysuru,50
101,Sindhudurg,50
102,Cuttack,50
103,Bid,50
104,Kolhapur,50
105,Parbhani,49
106,Patiala,49
107,Raigarh,49
108,Bharuch,49
109,Satara,48
110,Sitamarhi,48
111,Ballia,48
112,Samastipur,46
113,Baleshwar,46
114,Kota,46
115,Jammu,45
116,Surat,45
117,Amritsar,45
118,Kheri,45
119,Faizabad,44
120,Saharsa,44
121,Belgaum,44
122,Jalgaon,44
123,Jalpaiguri,43
124,Shivamogga,43
125,Bhagalpur,43
126,Deoria,43
127,Basti,42
128,Pratapgarh,42
129,Jaipur,42
130,Khagaria,42
131,Jalna,42
